English	Svenska
dimpled	gropig
rough	gropig
bumpy	gropig
gross	gross
merchant	grossist
wholesaler	grossist
cash and carry	grossist-
cash and carry	grossisthandel
grotesque	grotesk
antic	grotesk
grotesque	grotesk figur
grotesque	groteskornamentik
grotesque	groteskt motiv
cave	grotta
pothole	grotta
floor	grottbotten
treadmill	grottekvarn
cavernous	grottlik
troglodyte	grottmänniska
bad	grov
gross	grov
crass	grov
blatant	grov
brutal	grov
rough	grov
broad	grov
scurrilous	grov
crude	grov
harsh	grov
heavy	grov
abusive	grov
coarse	grov
brushy	grov
bearish	grov
dungaree	grov bomullstwill
thick	grov bred i förhållande till längden
piss-take	grov drift
felon	grov förbrytare
felony	grov förbrytelse
foul-mouthed	grov i mun
puff	grov reklam
spike	grov spik
buckshot	grova hagel
granulated	grovkornig
broad	grovkornig
grit	grovkorning sandsten
thickness	grovlek
rugged	grovskuren
ruggedness	grovskurenhet
blatantly	grovt
grossly	grovt
rough	grovt
outrage	grovt förolämpa
canvas	grovt linne
meal	grovt mjöl
language	grovt språk
language	grovt sätt att uttrycka sig på
colon	grovtarm
contemplate	grubbla
brood	grubbla
chew	grubbla
ponder	grubbla
muse	grubbla
chew on	grubbla på
revolve	grubbla över
ruminant	grubblande
spat	gruff
obscure	grumla
cloudy	grumlig
muddy	grumlig
nebulous	grumlig
foul	grumlig
obscurity	grumlighet
dregs	grums
ooze	grums
dreggy	grumsig
cause	grund
bank	grund
reason	grund
shallow	grund
foundation	grund
ground	grund
root	grund
basis	grund
warrant	grund
fundamental	grund
bar	grund
account	grund
base	grund
elementary	grund-
bottom	grund-
basic	grund-
comprehensive school	grund- och gymnasieskola
base on	grunda
ground	grunda
build	grunda
base	grunda
predicate	grunda
clearcole	grunda
constitute	grunda
institute	grunda
base upon	grunda
found	grunda
erect	grunda
establish	grunda
bottom	grunda
prime	grunda
substantial	grundad
observational	grundad på observationer
establishment	grundande
foundation	grundande
founding father	grundare
founder	grundare
Jesus	grundaren av den kristna tron
essence	grunddrag
basic research	grundforskning
clearcole	grundfärg
basic knowledge	Grundkunskaper
foundation course	grundkurs
foundation course	grundkurs på universitet
profound	grundlig
close	grundlig
exhaustive	grundlig
careful	grundlig
curious	grundlig
sound	grundlig
thorough	grundlig
exhaustiveness	grundlighet
thoroughness	grundlighet
roundly	grundligt
heartily	grundligt
downright	grundligt
line	grundlinje
pioneer	grundlägga
found	grundlägga
elemental	grundläggande
quintessential	grundläggande
basic	grundläggande
fundamental	grundläggande
simple	grundläggande
elementary	grundläggande
establishment	grundläggande
bread-and-butter	grundläggande
essential	grundläggande
basal	grundläggande
basics	grundläggande behov
basic undergraduate education	grundläggande högskoleutbildning
basic education for adults	grundläggande vuxenutbildning
founding father	grundläggare
founder	grundläggare
foundation	grundläggning
baseless	grundlös
ground	grundmåla
prime	grundmåla
nucleus	grundplåt
fundamental	grundprincip
elementary school	grundskola
grade school	grundskola
primary school	grundskola för barn mellan 5 och 11 år
primary school	grundskola som omfattar de 6 eller 8 första åren av ett skolgången
nine-year compulsory school	grundskolan
compulsory school ordinance	grundskoleförordningen
compulsory school leaving certificate	grundskolekompetens
compulsory school teacher	grundskolelärare
compulsory school level	grundskolenivå
original	grundskrift
stock	grundstam
foundation stone	grundsten
elements	grundstenar
backbone	grundstomme
nucleus	grundstomme
striking	grundstötning med båt eller fartyg
base	grundtal
base	grundtal i potensräkning
keynote	grundtanke
keynote	grundton
undergraduate studies	grundutbildning
foundation stone	grundval
ground	grundval
foundation	grundval
basis	grundval
base	grundval
cornerstone	grundval
elements	grundvalar
element	grundämne
brood	grunna
pocket	grupp
body	grupp
class	grupp
outfit	grupp
clump	grupp
section	grupp
knot	grupp
platoon	grupp
party	grupp
brigade	grupp
cluster	grupp
unit	grupp
mob	grupp
group	grupp
bunch	grupp
squad	grupp
bracket	grupp
community	grupp
group	grupp-
consort	grupp av gammaldags instrument som används i musikergrupp
den	grupp av miniorscouter
consort	grupp av musiker som spelar musik från forna tider
part of speech	grupp av ord med liknande grammatiska egenskaper
clientele	grupp klienter
gang	grupp kriminella
chorus	grupp personer som regelbundet sjunger tillsammans
quintet	grupp på fem musiker
quartet	grupp på fyra musiker
group work	grupparbete
team-working	grupparbete
squadron leader	gruppchef
eln	grupper
group	gruppera
deploy	gruppera
pair	gruppera parvis
group	gruppera sig
pair	gruppera sig parvis
regimentation	gruppering
deployment	gruppering
alignment	gruppering
grouping	gruppindelning
group size	gruppstorlek
gang-bang	gruppvåldtäkt
sand	grus
noise	grus
rubble	grus
gravel	grus
gravelly	grus-
frustrate	grusa
dish	grusa
disappointed	grusad
quarry	gruva
mine	gruva
dread	gruva sig för
miner	gruvarbetare
mineworker	gruvarbetare
mining	gruvarbete
mining	gruvdrift
methane	gruvgas
working	gruvgång
pit	gruvhål
pit	gruvschakt
working	gruvschakt
break	gry
dawn	gry
nascent	gryende
malignant	grym
inhuman	grym
cold-blooded	grym
oppressive	grym
callous	grym
bad	grym
fell	grym
bloodthirsty	grym
foul	grym
cruel	grym
fiendish	grym
ferocious	grym
bloodless	grym
grim	grym
hard	grym
barbarous	grym
barbarity	grymhet
ferocity	grymhet
barbarism	grymhet
cruelty	grymhet
atrocity	grymhet
fiendishly	grymt
grimly	grymt
grunt	grymta
grunt	grymtning
grain	gryn
grain	gryna
granulate	gryna sig
gritty	grynig
granular	grynig
dawn	gryning
daylight	gryning
den	gryt
earth	gryt
saucepan	gryta
pot	gryta
pan	gryta
potful	gryta
drab	grå
dead	grå
gloomy	grå
dull	grå
leaden	grå
sullen	grå
mousy	grå
grey	grå
dismal	grå
grey matter	grå celler
grey	grå färg
grey matter	grå hjärnsubstans
cataract	grå starr
greyish	gråaktig
drab	gråbrun
sullen	grådaskig
grey	gråhårig
grey	gråna
woodlouse	gråsugga
cry	gråt
weep	gråt
blubber	gråta
lament	gråta
weep	gråta
cry	gråta
bawl	gråta högt och ljudligt
weep	gråtanfall
maudlin	gråtmild
weepy	gråtmild
weepie	gråtmild
grey area	gråzon
cream	grädda
bake	grädda
pick	gräddan
bake	gräddas
cream	grädde
cream	gräddstuva
fight	gräl
argument	gräl
jar	gräl
faction	gräl
dust-up	gräl
row	gräl
hassle	gräl
quarrel	gräl
dispute	gräl
row	gräla
dispute	gräla
fight	gräla
jar	gräla
quarrel	gräla
jangle	gräla
argue	gräla
hassle	gräla
scold	gräla på
glaring	gräll
garish	gräll
harsh	gräll
contentious	grälsjuk
repine	gräma sig
fret	gräma sig
mortification	grämelse
alley	gränd
close	gränd
verge	gräns
limit	gräns
barrier	gräns
pale	gräns
division	gräns
boundary	gräns
frontier	gräns
border	gräns
line	gräns
joint	gräns mellan två delar
coast	gräns mot hav
border	gränsa
bound	gränsa
abut	gränsa
touch	gränsa till
abut	gränsa till
adjoin	gränsa till
border on	gränsa till
touch	gränsa till varandra
adjoin	gränsa till varandra
frontiersman	gränsbo
four	gränsboll
bounds	gränser
marches	gränser
borderline case	gränsfall
checkpoint	gränskontroll
marches	gränsland
borderline	gränsland
borderland	gränsland
crease	gränslinje
borderline	gränslinje
line	gränslinje
immeasurable	gränslös
boundless	gränslös
endless	gränslös
limitless	gränslös
infinite	gränslös
idolatry	gränslös dyrkan
immensity	gränslöshet
immeasurably	gränslöst
confines	gränsområde
periphery	gränsområde
borderland	gränsområde
frontier	gränsområde
frontier	gränsområde mellan bebyggd och obebyggd mark
interface	gränssnitt
limit	gränsvärde
cross-boundary	gränsöverskridande
grass	gräs
grassy	gräs-
mallard	gräsand
grassy	gräsbevuxen
frontier	gräsen mellan vad som är känt och vad som är okänt inom ett visst forskningsområde
grassy	gräsgrön
grasshopper	gräshoppa
locust	gräshoppa
lawnmower	gräsklippare
mower	gräsklippare
mower	gräsklippningsmaskin
ugly	gräslig
beastly	gräslig
abominable	gräslig
grisly	gräslig
awful	gräslig
horrible	gräslig
grassy	gräslik
chive	gräslök
chives	gräslök
grass	gräsmatta
greensward	gräsmatta
grass roots	gräsrötterna
grassland	grässlätt
grass	grässorter
blade	grässtrå
divot	grästorva
greensward	gräsvall
grass widow	gräsänka
grass widower	gräsänkling
herbivorous	gräsätande
herbivore	gräsätare
mine	gräva
wear	gräva
delve	gräva
exacavate	gräva
burrow	gräva
erode	gräva
dig	gräva
grub	gräva
excavate	gräva
sink	gräva
tunnel	gräva
ditch	gräva dike
excavate	gräva fram
grub up	gräva fram
grub out	gräva fram
turn up	gräva fram
dig up	gräva fram
dig out	gräva fram
mine	gräva gångar
mine	gräva gångar under
mine	gräva hål i
burrow	gräva håla
cache	gräva ned
bury	gräva ned
dig in	gräva ned
sink	gräva ned
entrench	gräva ned sig
intrench	gräva ned sig
intrench	gräva skyttegravar
entrench	gräva skyttegravar
exhume	gräva upp
dig	gräva upp
dig up	gräva upp
excavate	gräva upp
grub out	gräva upp
unearth	gräva upp
grub up	gräva upp
hollow out	gräva ur
channel	gräva ut
excavate	gräva ut
gouge	gräva ut med hålmejsel
digger	grävare
badger	grävling
excavator	grävskopa
crop	gröda
jade	grön
green	grön
verdant	grön
green	grön färg
pistachio	grön nöt
greens	gröna kvistar som används för prydnad
greeny	grönaktig
greenish	grönaktig
greenhorn	gröngöling
nestling	gröngöling
cub	gröngöling
curly	grönkål
Greenland	Grönland
greenlandic	grönländsk
spearmint	grönmynta
blue cheese	grönmögelost
vegetable	grönsak.
greens	grönsaker
greenstuff	grönsaker
greengrocer	grönsakshandlare
truck farm	grönsaksodling
greenery	grönska
verdant	grönskande
green light	grönt ljus
green-eyed	grönögd
mess	gröt
thick	grötig
GSM	GSM
Guantanamo	Guantánamo
guatemalan	guatemalanska
jack-in-the-box	gubben i lådan
infinite	Gud
God	Gud
deity	gud
divinity	gud
god	gud
inspired	gudabenådad
blessing	gudagåva
power	gudamakt
godchild	gudbarn
godfather	gudfader
godfather	gudfar
holy	gudfruktig
devout	gudfruktig
religious	gudfruktig
goddess	gudinna
deity	gudinna
divinity	gudinna
wicked	gudlös
godmother	gudmor
deity	gudom
adorable	gudomlig
divine	gudomlig
divine right	gudomlig rätt
deity	gudomlighet
divinity	gudomlighet
Christ	Guds son
ordeal	gudsdom
godliness	gudsfruktan
devotion	gudsfruktan
atheist	gudsförnekare
service	gudstjänst
worship	gudstjänst
chapel	gudstjänstlokal
GUID	GUID
guide	guida
conducted tour	guidad tur
guide	guide
amber	gul
lemon	gul
daffodil	gul narciss
oxeye	gul prästkrage med flera
flag	gul svärdslilja
yellow fever	gula febern
yellow pages	gula sidorna
drab	gulbrun
gold	guld
golden	guld-
gold	guld-
golden wedding	guldbröllop
gold-rimmed	guldbågad
goldplate	gulddoublé
gold rush	guldfeber
gold fever	guldfeber
goldfish	guldfisk
goldfish bowl	guldfiskskål
goldfield	guldfält
gold	guldfärg
golden	guldfärgad
gold	guldfärgad
bonanza	guldgruva
mine	guldgruva
goldmine	guldgruva
gold digger	guldgrävare
prospector	guldletare
alchemy	guldmakeri
gold	guldmedalj
gold medal	guldmedalj
gold standard	guldmyntfot
gold-plated	guldpläterad
alluvial	guldrik alluvialjord
gold rush	guldrush
goldplate	guldservis
goldmine	guldskatt
goldsmith	guldsmed
gold dust	guldstoft
bullion	guldtacka
golden age	guldålder
yellow	guling
dear	gullig
cute	gullig
cowslip	gullviva
yellow	gulna
amber	gult
gum	gummi
rubber	gummi
elastic	gummi-
elastic	gummiband
lac	gummilacka
gumshoe	gummisko
elastic	gummisnodd
ram	gumse
swing	gunga
dance	gunga
swim	gunga
wobble	gunga
sway	gunga
rock	gunga
jig	gunga eller hoppa upp och ned
wobble	gunga på
wobbling	gungning
sway	gungning
rock	gungning
wobble	gungning
rocker	gungstol
rocking chair	gungstol
gunpowder tea	gunpowder te
grace	gunst
favour	gunst
minion	gunstling
bump	gupp
bob	guppa
bouncy	guppig
gargle	gurgelvatten
gurgle	gurgla
gargle	gurgla sig
gurgle	gurglande
gargle	gurgling
cucumber	gurka
governor	guvernör
guy	Guy-Fawkes-docka
mockery	gyckel
scoff	gyckel
chaff	gyckel
jester	gyckelmakare
mock	gyckla
mocker	gycklare
antic	gycklare
jester	gycklare
fool	gycklare
minstrel	gycklare
fly	gylf
golden	gyllene
golden handshake	gyllene handslag
golden rule	gyllene regel
upper secondary adult education	gymnasial vuxenutbildning
Upper Secondary School Ordinance	Gymnasieförordningen
upper secondary school leaving certificate	gymnasiekompetens
upper secondary school level	gymnasienivå
gymnast	gymnast
gym	gymnastik
gymnastics	gymnastik
gym	gymnastiksal
gymnasium	gymnastiksal
trainer	gymnastiksko
gumshoe	gymnastiksko
pumps	gymnastikskor
exercise	gymnastisera
gymnastic	gymnastisk
aerobics	gymping
gynecologist	gynekolog
gynaecologist	gynekolog
gyneacology	gynekologi
gynecology	gynekologi
gynecological	gynekologisk
gynaecological	gynekologisk
favour	gynna
further	gynna
foster	gynna
forward	gynna
support	gynna
promote	gynna
patronize	gynna
back up	gynna
favoured	gynnad
fortunate	gynnad av lyckan
favoured with	gynnad med
promotion	gynnande
customer	gynnare
supporter	gynnare
backer	gynnare
encourager	gynnare
dog	gynnare
patron	gynnare
beggar	gynnare
promoter	gynnare
backer-up	gynnare
women's libber	gynnare av kvinnosaken
benign	gynnsam
fortunate	gynnsam
favourable	gynnsam
fair	gynnsam
opening	gynnsamt tillfälle
conglomeration	gytter
agglomeration	gytter
ooze	gyttja
mire	gyttja
sludge	gyttja
mud	gyttja
mudbath	gyttjebad
muddy	gyttjig
sludgy	gyttjig
mudflat	gyttjig botten på uttorkad sjö
mudflat	gyttjig landremsa
mudflat	gyttjig strand
agglomerate	gyttra ihop
conglomerate	gyttra ihop
conglomerate	gyttras ihop
strike	gå
keep	gå
draw	gå
walk	gå
work	gå
go on	gå
run	gå
start	gå
tread	gå
go round	gå
elapse	gå
go	gå
pass	gå
lead	gå
sell	gå
toddle	gå
move	gå
go around	gå
go off	gå
hoof	gå
breeze	gå
reach	gå
step	gå
carry	gå
spread	gå att breda eller stryka på en yta
divide	gå att dela
pour	gå att hälla
cure	gå att konservera
grind	gå att mala
extrude	gå att strängspruta plast
shut	gå att stänga
close	gå att stänga minskas
snap	gå av
break	gå av
part	gå av
withdraw	gå avsides
back down	gå baklänges ned
come out	gå bort
exit	gå bort
prosper	gå bra
succeed	gå bra
handle	gå bra att köra
pick up	gå bättre
attest	gå ed på
pursue	gå efter
fetch	gå efter
trip	gå eller springa med lätta steg
go against	gå emot
founder	gå fel
step out	gå fortare
pace	gå fram och tillbaka
accost	gå fram till och tilltala
boom	gå framåt
get on	gå framåt
march	gå framåt
advance	gå framåt
stoop	gå framåtlutad
fetch	gå för
pass	gå förbi
eliminate	gå förbi
go round	gå förbi
go round	gå förbi på besök i någons hem
lead	gå före
pioneer	gå före med
cut	gå genom
get back	gå hem
get across	gå hem
click	gå hem
clamp down	gå hårt fram med
punish	gå hårt åt
break	gå hög
pass on	gå i arv
pass down	gå i arv
ear	gå i ax
curve	gå i en båge
chip	gå i flisor
herd	gå i flock
go ahead	gå i förväg
go on	gå i förväg
engage	gå i god för
vouch for	gå i god för
harbour	gå i hamn
harbor	gå i hamn
hole	gå i hål
prep	gå i högre internatskola för inträde i college
go under	gå i konkurs
liquidate	gå i konkurs
wind	gå i krokar
founder	gå i kvav
worship	gå i kyrkan
apprentice	gå i lära
go in	gå i moln
retire	gå i pension
prep	gå i privat förberedande skola upp till 13 års ålder
process	gå i procession
file	gå i rad
troop	gå i samlad tropp
range	gå i samma riktning som
suit	gå i stil
come out	gå i strejk
strike	gå i strejk mot
chip	gå i stycken
bomb	gå i stöpet
trot	gå i trav
wave	gå i vågor
roll	gå i vågor
abandon	gå ifrån
leave	gå ifrån
get down	gå ifrån bordet
fasten	gå igen
shut	gå igen
walk	gå igen
pass out	gå igenom
go through	gå igenom
go over	gå igenom
pass	gå igenom
check over	gå igenom
check	gå igenom
review	gå igenom på nytt
cohere	gå ihop
mix	gå ihop
tackle	gå iland med
enter	gå in
go in	gå in
enter into	gå in i
dock	gå in i docka
hive	gå in i kupan
go into	gå in på
diverge	gå isär
conflict	gå isär
fragment	gå itu
part	gå itu
wear	gå klädd i
stoop	gå krokig
drag	gå långsamt
skirt	gå längs
shoot	gå längs marken
rush	gå lös på
lay about	gå lös på
lay into	gå lös på
pitch into	gå lös på
model	gå mannekäng
wear	gå med
carry	gå med
join	gå med
walk	gå med
lose	gå med förlust
lose out	gå med förlust
join	gå med i
tap	gå med klapprande steg
stride	gå med långa steg
accept	gå med på
wear	gå med på
concede	gå med på
comply	gå med på
give way	gå med på
play along	gå med på
admit	gå med på
divine	gå med slagruta
climb	gå med stora steg
miss out	gå miste
lose	gå miste om
miss out	gå miste om
breast	gå mot
fly	gå mycket snabbt
drudge	gå mödosamt
descend	gå ned
sink	gå ned
subside	gå ned
decline	gå ned
reduce	gå ned
go down	gå ned
land	gå ned
come down	gå ned
come down	gå ned i pris
unwind	gå ned i varv
reduce	gå ned i vikt
descend	gå nedför
set	gå ner
go against	gå någon emot
bugger about	gå och dra
lie around	gå och dra
bugger around	gå och dra
loaf	gå och dra
lie about	gå och dra
fool around	gå och driva
monkey	gå och driva
fool about	gå och driva
mess about	gå och driva
mooch about	gå och drälla
mooch around	gå och drälla
kip	gå och kvarta
kip	gå och lägga sig
sack out	gå och lägga sig
mike	gå och slå dank
shop	gå och titta i butiker
pass	gå om
cross	gå om
retake a year	gå om
retake a year	gå om en årskurs
collapse	gå om intet
cross	gå om varandra
board	gå ombord på
ambulate	gå omkring
carry	gå omkring med
mope about	gå omkring och hänga med huvudet
go	gå omkring och vara
parade	gå omkring och visa upp
fail	gå omkull
break	gå omkull
attend	gå på
cost	gå på
go on	gå på
blaze away	gå på
blaze	gå på
go round	gå på besök
graze	gå på bete
double date	gå på dubbelträff
strike	gå på grund
go round	gå på hastigt besök
file	gå på led
tick over	gå på tomgång
idle	gå på tomgång
tiptoe	gå på tåspetsarna
mount guard	gå på vakt
compass	gå runt
circulate	gå runt
swim	gå runt
go round	gå runt
round	gå runt
consolidate	gå samman
breeze	gå självsäkert
swing	gå spänstigt
picket	gå strejkvakt
break	gå sönder
split	gå sönder
stave in	gå sönder
smash	gå sönder
give	gå sönder
blow	gå sönder
chip	gå sönder
give way	gå sönder
break down	gå sönder
tear	gå sönder
give out	gå sönder
come apart	gå sönder
fragment	gå söner
visit	gå till
see	gå till
strike	gå till anfall
engage	gå till anfall mot
assault	gå till anfall mot
tilt at	gå till angrepp mot
attack	gå till angrepp mot
bunk	gå till kojs
bunk down	gå till kojs
face	gå till mötes
communicate	gå till nattvarden
waste	gå till spillo
retire	gå till sängs
bed down	gå till sängs
backtrack	gå tillbaka
decline	gå tillbaka
date	gå tillbaka till
mince	gå tillgjort
drag	gå trögt
cross	gå tvärs över
bowl along	gå undan
go under	gå under
succumb	gå under
go up	gå upp
sink in	gå upp
advance	gå upp
stack up	gå upp
break	gå upp
rise	gå upp
start	gå upp
mount	gå upp
beat	gå upp
dawn on	gå upp för
evaporate	gå upp i rök
melt	gå upp i rök
fatten up	gå upp i vikt
match	gå upp mot
stack up	gå upp mot
ascend	gå uppför
breast	gå uppför
mount	gå uppför
ascend	gå uppför på
come out	gå ur
dissent	gå ur statskyrkan
withdraw	gå ut
exit	gå ut
step out	gå ut
go out	gå ut
decline	gå utför
tread	gå vandra på
pass on	gå vidare
proceed	gå vidare
pursue	gå vidare med
wander	gå vilse
bust up	gå våldsamt fram mot
diverge	gå åt olika håll
part	gå åt olika håll
dodge	gå åt sidan
separate	gå åt var sitt håll
pass	gå över
go over	gå över
traverse	gå över
cease	gå över
blow over	gå över
embrace	gå över till
draw	gå...djupt
afoot	gående
gait	gående
back	gående bakåt
working	gång
operation	gång
alley	gång
course	gång
stride	gång
march	gång
pace	gång
way	gång
run	gång
tread	gång
escapement	gång
duct	gång
walk	gång
travel	gång
time	gång
process	gång
gait	gång
gallery	gång
alley	gång i trädgård
gangway	gång mellan bänkrader i till exempel teatersalong eller flygplan
repeatedly	gång på gång
pace	gångart
path	gångbana
pavement	gångbana bredvid körbana
current	gångbar
viable	gångbar
departed	gången
gone	gången
by	gånger
runner	gångmatta
footpath	gångstig
path	gångstig
subway	gångtunnel
underpass	gångtunnel
walk	gångtävling
walk	gångväg
get-up-and-go	gåpåaranda
go-ahead	gåpåig
exit	går
yard	gård
courtyard	gård
area	gård
enclosure	gård
yesterday	gårdagen
courtyard	gårdsplan
yard	gårdsplan
court	gårdsplan
goose	gås
pigeon-chest	gåsbröst
goose pimples	gåshud
gooseflesh	gåshud
goosebumps	gåshud
baby walker	gåstol
walker	gåstol för barn eller handikappad person
gift	gåva
freebie	gåva
alms	gåva
donation	gåva
bounty	gåva
present	gåva
evade	gäcka
mock	gäcka
disappoint	gäcka
confound	gäcka
defy	gäcka
dash	gäcka
stymie	gäcka
foil	gäcka
disappointed	gäckad
elusive	gäckande
scoff	gäckas
dodge	gäckas med
mockery	gäckeri
jack	gädda
jack	gäddsnipa
gill	gäl
debtor	gäldenär
high	gäll
high-pitched	gäll
shrill	gäll
acute	gäll
involve	gälla
come to	gälla
apply	gälla
run	gälla
concern	gälla
go	gälla
go for	gälla
obtain	gälla
effectual	gällande
effective	gällande
operative	gällande
valid	gällande
stow away	gämma sig ombord
crowd	gäng
gang	gäng
clique	gäng
lot	gäng
gang	gäng av arbetskamrater
gang	gäng av framför allt unga män som ställer till skada
thread	gänga
worm	gänga
rumble	gängbråk
gang-bang	gängknull där flera män har sex med en och samma kvinna
lanky	gänglig
gangling	gänglig och mager så att man framstår som litet tafatt och fumlig i vissa situationer
leggy	gängligt
accepted	gängse
current	gängse
admitted	gängse
fence	gärdsgård
wren	gärdsmyg
soon	gärna
freely	gärna
gladly	gärna
like	gärna vilja
work	gärning
act	gärning
deed	gärning
achievement	gärning
perpetrator	gärningsman
culprit	gärningsman
yawn	gäspa
yawn	gäspning
geese	gäss
visitor	gäst
guest	gäst
customer	gäst
resident	gäst
guest	gästa
guest worker	gästarbetare
visitors' book	gästbok
company	gäster
visiting research professor	gästforskare
guesthouse	gästhem
visiting lecturer	gästlärare
visiting professor	gästprofessor
guest room	gästrum
spare room	gästrum
visiting student	gäststuderande
fertilise	göda
enrich	göda
fatten	göda
beef up	göda
plump up	göda
cram	göda
fatten up	göda
fertilize	göda
fatten up	göda sig
broiler	gödkyckling
fertilizer	gödning
fertiliser	gödning
fertiliser	gödningsmedel
fertilizer	gödningsmedel
fertiliser	gödsel
dung	gödsel
litter	gödsel
dressing	gödsel
dunghill	gödselhög
dunghill	gödselstack
fertilise	gödsla
fertilize	gödsla
dress	gödsla
cuckoo	gök
cuckoo clock	gökur
pool	göl
close	gömd
cache	gömd proviant
cache	gömma
hide	gömma
obscure	gömma
conceal	gömma
palm	gömma i handflatan
keep	gömma på
hide	gömma sig
dodge	gömma sig
lie up	gömma sig
hole up	gömma sig
secrete	gömma undan
coffin	gömma undan
hide	gömställe
cache	gömställe
blind	gömställe
bolthole	gömställe
covert	gömställe
bare	gör bar/kal
doesn't	gör inte
work	göra
model on	göra
make	göra
draw	göra
model upon	göra
pay	göra
do with	göra
go about	göra
knock up	göra
fashion	göra
do	göra
turn	göra
abort	göra abort på
deal	göra affärer
deal with	göra affärer med
activate	göra aktiv
broadcast	göra allmänt känt
remark on	göra anmärkningar om
pretend to	göra anspråk på
claim	göra anspråk på
institutionalise	göra anstaltsbunden
institutionalize	göra anstaltsbunden
take	göra anteckningar
note	göra anteckningar i
piss off	göra arg
anger	göra arg
frustrate	göra arg och besviken
disinherit	göra arvlös
nauseate	göra att det vänder sig i magen
recommend	göra attraktiv
go through	göra av med
dispatch	göra av med
break	göra avbrott
emaciate	göra avtärd
tape record	göra bandinspelningar
fail	göra bankrutt
qualify	göra behörig
familiarise	göra bekant
familiarize	göra bekant
introduce	göra bekant med
satisfy	göra belåten
incline	göra benägen
condition	göra beroende
calculate	göra beräkningar
startle	göra bestört
dismay	göra bestört
disillusion	göra besviken
disappoint	göra besviken
visit	göra besök hos
crab	göra bitter
burnish	göra blank
fade	göra blek
blanch	göra blek
blind	göra blind
burnish	göra blänkande
mess up	göra bort sig
perform	göra bra ifrån sig
achieve	göra bra ifrån sig
ace	göra bra ifrån sig på
steepen	göra brant
dive	göra brant glidflykt
steepen	göra brantare
broaden	göra bredare
widen	göra bredare
variegate	göra brokig
tan	göra brun
tan	göra brunbränd
brutalise	göra brutal
brutalize	göra brutal
ameliorate	göra bättre
incline	göra böjd
fertilize	göra bördig
fertilise	göra bördig
charge	göra chock
corrupt	göra depraverad
depress	göra deprimerad
bed down	göra det bekvämt för någon inför natten
bed down	göra det bekvämt för sig inför natten
enable	göra det möjligt
empower	göra det möjligt för
fog	göra dimmig
deepen	göra djupare
muffle	göra dov
deepen	göra dovare
dramatise	göra dramatisk
dramatize	göra dramatisk
double	göra dubbel tjänst
muddy	göra dunkel
muddy	göra dyig
deafen	göra döv
model on	göra efter
model upon	göra efter
electrify	göra elektrisk
scrimshaw	göra elfenbensarbeten
report	göra en anmälan om
deviate	göra en avvikelse
birdie	göra en birdie
ball up	göra en boll av
budget	göra en budget
circle	göra en cirkel runt
duplicate	göra en exakt kopia av någonting
denounce	göra en formell anmälan hos polisen eller i domstol
demur	göra en formell invändning för att vinna uppskov i ett mål
reciprocate	göra en gentjänst
gesture	göra en gest
raid	göra en husundersökning
hypothesise	göra en hypotes
hypothesize	göra en hypotes
burrow	göra en håla
ball up	göra en jävla soppa av
tie	göra en knut
bend	göra en krok
snick	göra en lätt skåra i
mock up	göra en modell av
net	göra en nettovinst
pause	göra en paus
bust	göra en razzia i
pinch	göra en razzia i
tour	göra en rundresa
raid	göra en räd
petition	göra en skriftlig hemställan
heist	göra en stöt
back up	göra en säkerhetskopia
blunder	göra en tabbe
digress	göra en utvikning
go	göra en viss rörelse
amend	göra en ändring
loop	göra en ögla
lurch	göra en överhalning
unify	göra enig
enter	göra entré
enthuse	göra entusiastisk
apprehend	göra ett anhållande
touch	göra ett djupt intryck på
ace	göra ett ess på
guest	göra ett gästspel
bound	göra ett hopp
excavate	göra ett hål genom att gräva
estimate	göra ett kostnadsförslag
layer	göra ett lager av
slip	göra ett litet misstag
belly flop	göra ett magplask
lunge	göra ett plötsligt ryck
scoop	göra ett scoop
jump	göra ett skutt
travel	göra ett stegfel
transect	göra ett tvärsnitt
pause	göra ett uppehåll
intermit	göra ett uppehåll
lunge	göra ett utfall
trace	göra ett utkast
seat	göra fast
fix	göra fast
solidify	göra fast
bend	göra fast
fasten	göra fast
secure	göra fast
impoverish	göra fattig
beggar	göra fattig
fatten up	göra fet
fatten	göra fet
fatten	göra fet för slakt
bomb	göra fiasko
stiff	göra fiasko
fail	göra fiasko
flop	göra fiasko
advance	göra framsteg
develop	göra framsteg
progress	göra framsteg.
rid	göra fri
disentangle	göra fri
unfetter	göra fri
liberate	göra fri
freckle	göra fräknig
alienate	göra främmande
estrange	göra främmande
pit	göra full av hål
complement	göra fullständig
complete	göra fullständig
complement	göra fulltalig
plump up	göra fyllig
finish	göra få färdig
get through	göra färdig
finish	göra färdig
reconcile	göra förenlig
dismay	göra förfärad
disconcert	göra förlägen
embarrass	göra förlägen
enrich	göra förmögen
petrify	göra förstenad
familiarise	göra förtrogen
familiarize	göra förtrogen
fog	göra förvirrad
screw up	göra förvirrad
orphan	göra föräldralös
innovate	göra förändringar
stale	göra gammal
age	göra gammal
abash	göra generad
embarrass	göra generad
soak	göra genomvåt
drench	göra genomvåt
gesticulate	göra gester
lighten	göra gladare
antic	göra glädjesprång
brighten	göra glänsande
benefit	göra gott
grimace	göra grimaser
dimple	göra gropar
green	göra grön
yellow	göra gul
muddy	göra gyttjig
claim	göra gällande
pretend	göra gällande
submit	göra gällande
make out	göra gällande
exert	göra gällande
argue	göra gällande
hack	göra hack
indent	göra hack
